PUBLISHDATE,VERSION,ZONE,PNODEID,PNODENAME,PNODETYPE,PRICINGTYPE,H1,H2,H2DST,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
01.01.2015,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,27.481,27.69248,,27.07851,26.75774,26.04735,25.11067,25.65667,26.34225,25.86447,25.02538,24.28116,23.88049,23.19977,21.71416,18.8555,18.55083,24.28465,31.29633,24.84533,26.06024,26.06275,24.68728,23.4587,23.20764
02.01.2015,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,22.2464,23.21121,,22.30987,22.36308,24.11221,24.43002,24.79327,25.41453,25.98039,25.8902,26.78644,26.58209,26.03221,25.50184,25.38262,25.42916,26.53408,29.04422,27.39665,26.24703,26.75776,26.44229,25.5852,23.83721
03.01.2015,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,25.99392,25.4453,,23.84382,23.94525,24.38157,24.73924,24.94948,25.38852,26.05043,27.34073,30.08925,29.79062,29.21493,28.62046,27.58932,26.98296,27.99191,31.96233,28.38324,27.9996,25.50722,25.1241,23.15044,19.05828
04.01.2015,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,18.43199,18.40594,,13.45991,16.33907,15.17136,19.08322,17.91297,15.36457,15.33035,19.4731,21.96734,22.13815,22.65268,23.81646,23.36172,23.40759,24.93097,27.4662,26.48441,25.51277,25.64133,22.71871,20.18144,17.08338
05.01.2015,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,6.94046,12.19842,,17.37921,19.18052,23.43607,25.65905,36.64084,27.92123,28.13388,28.1968,27.84489,28.10862,27.60823,27.62682,27.45159,26.93065,28.74909,41.57657,36.56933,36.08266,36.16518,31.15736,28.08792,27.23992
06.01.2015,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,29.35296,29.72692,,28.93914,28.49715,28.78585,33.10519,37.91813,30.69708,30.32591,32.20399,34.32888,31.98853,30.99594,29.28017,29.0198,28.387,30.82581,36.64279,31.27751,30.09561,32.89559,29.64011,28.04594,27.42621
07.01.2015,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,24.27243,25.83094,,25.01791,25.80458,26.83844,27.55034,28.48353,31.05606,31.39555,31.16916,30.66628,31.26459,37.70703,33.46624,29.84949,30.91876,36.02189,175.13653,148.21018,63.23448,50.23744,76.65787,46.35209,30.41242
08.01.2015,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,31.92827,35.41573,,34.06547,36.3546,69.90513,116.18424,112.61138,171.73478,140.84661,88.04805,101.27396,90.76772,53.09384,86.64517,41.73988,42.1359,53.55636,53.23333,43.00538,42.96546,51.57445,40.80165,29.55572,29.28947
09.01.2015,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,25.61083,25.92434,,25.13656,25.52256,25.63427,26.71989,34.51457,30.42288,37.31182,35.34101,37.01748,30.81873,31.63885,27.92886,29.75442,29.10665,31.19119,39.86749,47.6945,41.95473,39.6998,35.51819,32.88437,30.13795
10.01.2015,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,31.1901,31.05829,,29.81948,29.76194,29.29949,31.11639,38.76393,36.4571,32.01413,34.38589,35.02702,30.90402,28.28039,27.83087,26.59949,27.32287,27.62915,31.47073,30.998,37.37806,30.14958,28.9056,28.68,27.77768
11.01.2015,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,26.74734,26.76391,,25.30082,22.58639,25.15988,25.29006,25.05831,26.9781,27.08345,27.6173,27.44024,27.55939,27.56154,27.19909,26.86143,27.7452,29.98516,32.11467,30.9685,29.60747,28.90902,27.17564,26.50046,25.4414
12.01.2015,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,28.70051,27.71281,,26.69172,26.57226,27.51327,28.52524,33.82539,63.07913,36.31932,33.94774,32.93498,31.23258,31.14304,29.93915,29.18111,30.85155,30.69121,32.39345,35.27391,35.27009,36.0196,29.32203,26.23233,26.29951
