PUBLISHDATE,VERSION,ZONE,PNODEID,PNODENAME,PNODETYPE,PRICINGTYPE,H1,H2,H2DST,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
20.01.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,28.90779,28.16171,,28.07183,27.82852,28.1964,29.2354,31.34886,35.50639,32.25308,42.34915,38.33244,32.59548,31.735,31.45659,31.47118,30.99077,29.74472,53.05675,32.32605,34.69518,35.30442,31.81524,30.1657,29.21008
21.01.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,29.23826,28.99953,,28.31229,28.24393,28.14362,27.40066,28.91514,30.65075,32.88851,45.68061,86.49541,48.00943,39.90385,31.66488,30.96562,30.70772,39.18772,69.40689,59.53397,38.50799,32.7469,30.83736,29.38815,28.99035
22.01.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,28.99526,29.44512,,28.5733,28.79843,28.29308,27.49896,26.7078,30.98596,31.19237,30.52719,29.91196,30.26164,29.14785,29.97168,29.03532,28.96864,29.94498,29.41792,32.19055,30.75484,30.04875,29.33441,28.87619,26.75248
23.01.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,26.6926,27.04187,,26.6605,26.21185,26.34331,25.36664,49.76081,29.56139,28.82689,32.24479,32.8341,39.50507,29.18322,29.12544,30.90571,28.53124,28.8346,29.97519,30.4234,30.64596,29.94528,28.547,24.4432,25.08707
24.01.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,23.57328,23.12405,,22.39029,21.49801,23.66595,24.57177,29.18227,29.79622,29.88044,30.00831,29.41644,28.74246,28.4131,27.81419,27.145,26.8638,28.21093,32.98779,31.58646,31.62738,31.28953,29.847,28.0223,25.76288
25.01.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,25.51849,26.06508,,26.14701,25.89917,25.38152,27.4423,38.5448,37.52109,30.23719,30.2143,29.95927,29.4339,28.41543,28.52769,27.90703,27.96269,28.40129,63.10954,32.84446,32.81588,32.02013,29.08821,26.66655,24.62546
26.01.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,24.80451,24.69698,,24.68592,24.14589,25.28633,26.48911,28.57395,28.26526,28.8674,29.69106,30.17012,29.56771,28.88306,28.95721,28.07683,28.40842,28.60554,29.63686,30.09588,30.04422,28.87144,27.1297,25.34357,21.55836
27.01.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,17.46495,16.55043,,0.08118,12.89976,20.04067,22.96957,28.2838,28.52245,27.47511,28.65255,29.1852,28.75781,28.83777,28.74283,27.6325,26.8318,26.41722,32.62742,30.28433,29.05814,28.2298,27.9399,26.65259,24.70289
28.01.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,25.43385,25.86929,,25.89734,26.96396,26.58508,27.03555,27.59383,28.61859,30.54572,30.46399,29.07309,28.12781,26.54443,25.70055,24.37676,24.62802,25.62964,30.70584,33.23435,28.57407,28.56566,28.46075,27.01695,25.74441
29.01.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,23.78138,25.15194,,23.39138,24.77621,25.70589,25.2156,25.29949,27.84647,28.16516,26.93143,25.59779,25.2042,25.56007,24.68675,23.28802,24.93593,26.60398,28.53998,34.19403,30.79928,30.33328,29.6169,27.27042,24.78349
30.01.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,24.77421,24.17124,,25.89822,25.73281,25.42461,29.60233,35.37897,33.31805,30.4045,30.91731,30.05834,30.93412,28.97148,28.84219,26.9037,27.3669,27.18435,28.84832,31.32008,30.52237,28.93215,27.68131,25.1373,22.55755
31.01.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,22.13101,22.05103,,20.63353,21.01975,23.25723,26.91534,33.48153,29.65218,27.94071,26.55997,26.47509,26.09362,25.48116,24.30235,23.86415,22.83019,25.77999,27.46544,28.8598,28.85058,27.73222,25.76252,20.28211,9.3446
01.02.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,19.00282,17.74141,,11.064,-12.0441,18.61592,22.77275,28.10899,27.60721,27.24819,27.48626,27.35893,26.69329,26.55413,25.38145,25.11569,23.35714,24.69201,27.1718,30.3085,28.49333,27.95779,27.11458,25.5012,20.31786
02.02.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,19.26138,19.72372,,17.90078,19.28744,21.52565,22.64524,27.91398,27.64758,27.96948,28.18542,27.66662,27.34199,27.39688,26.66555,25.56535,25.80525,27.36987,28.55356,30.54221,30.24857,28.98948,27.4657,25.59083,22.06831
03.02.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,22.89227,21.7273,,22.26262,21.9145,23.47406,27.51054,34.58132,30.63565,29.64035,29.858,28.66887,27.84061,26.57362,26.50626,25.46962,25.18822,25.63086,35.43931,28.94041,28.145,27.78915,27.24852,25.89527,22.65929
04.02.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,22.6961,23.47341,,23.87338,22.65194,21.98267,21.44147,24.17488,26.10694,27.23326,27.96414,27.87122,27.37596,27.08362,26.70659,26.3632,25.68084,26.39731,26.97608,28.64202,27.8324,27.41839,27.14848,26.4821,21.13583
05.02.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,22.07923,21.20098,,19.04925,19.90486,20.40907,19.22174,21.81701,23.83767,26.90023,26.68158,26.48242,25.89604,26.18761,25.89965,24.97375,23.99617,24.41095,25.27523,28.85317,27.44103,27.53584,27.58545,27.41501,26.50598
06.02.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,26.41557,26.60787,,26.28954,26.208,26.39231,28.95387,68.68658,41.85172,32.70422,31.93822,32.32478,30.05504,28.46282,27.97253,28.02468,26.92549,27.57785,43.61085,36.92497,35.18922,37.29643,29.70205,27.3281,24.36757
07.02.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,24.65351,23.8104,,24.14774,24.98971,25.33201,26.6352,34.37678,34.02958,30.53588,31.03071,30.28444,28.56925,28.26653,27.97551,27.54061,26.90073,27.14939,29.56697,30.69156,34.53573,30.57832,29.20422,27.90156,25.3702
08.02.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,26.97024,25.37231,,25.7384,26.72177,26.78562,25.35669,28.51984,29.91488,30.39794,31.83983,30.83819,30.15778,29.23823,29.11749,28.40555,27.90249,28.29825,40.03542,30.70331,33.34441,34.38112,30.15445,27.65444,25.52901
09.02.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,24.75581,22.79894,,22.66117,23.78453,24.67602,26.67556,29.3859,31.32104,29.99163,31.07049,29.42901,28.2633,26.67595,26.86408,26.56052,25.19159,26.80244,30.27203,33.86851,33.98565,33.73972,29.37954,27.65539,23.66885
10.02.2012,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,22.72165,24.38993,,25.19181,24.26415,25.41256,27.97094,30.47256,30.93747,30.95211,30.45626,29.92645,29.28758,28.50746,28.34897,28.43675,27.98716,28.67323,49.07763,31.47177,29.37271,28.74818,27.96153,26.90981,24.81554
