PUBLISHDATE,VERSION,ZONE,PNODEID,PNODENAME,PNODETYPE,PRICINGTYPE,H1,H2,H2DST,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
01.01.2013,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,24.35906,23.49636,,20.49495,22.19322,16.25821,20.93919,21.61152,22.10694,21.98713,23.40747,26.58463,27.48456,27.07678,25.71518,24.29999,24.87268,27.07402,30.23497,29.35465,30.83276,29.89919,27.46646,23.65184,24.25914
02.01.2013,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,24.50418,23.31271,,23.46652,23.45426,24.2261,25.71053,28.79216,32.87443,31.64632,32.48641,33.1189,31.25745,30.1025,28.27137,29.19464,29.64714,29.33746,34.13561,35.73165,32.11761,33.22898,31.50809,30.25357,27.88501
03.01.2013,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,27.07166,26.30553,,26.4342,27.27053,27.79079,28.33748,30.832,29.31247,30.70325,32.58235,30.16332,29.26378,28.11997,28.18667,27.58653,27.49228,28.34665,33.51067,32.12446,33.99213,32.01263,30.31788,28.74203,27.56384
04.01.2013,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,25.81232,27.06082,,27.90353,27.39577,27.22655,26.19214,34.4146,30.81666,29.10415,29.46961,29.16935,29.11019,28.36397,25.71498,25.43838,25.26293,27.25389,38.00591,35.99162,29.65664,30.17253,30.48017,29.61936,27.89369
05.01.2013,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,29.05258,32.73555,,29.70464,29.88936,30.41605,33.511,40.52473,33.57661,34.13877,32.68828,29.87541,30.03832,27.31346,26.45038,26.16813,27.09867,28.57838,47.74952,34.66739,32.09687,31.42051,28.78945,24.71976,24.68351
06.01.2013,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,25.15805,25.03173,,23.82262,24.86127,25.67364,24.31317,24.69484,24.02478,25.38466,26.29452,25.9473,26.7614,26.90022,25.62335,24.63044,24.92023,26.32969,32.47409,31.85187,31.56097,31.23297,28.01713,25.51857,26.17543
07.01.2013,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,25.58386,25.28668,,24.86199,24.72452,24.52455,26.88104,35.47035,34.15653,32.05747,33.77094,33.65434,29.20527,28.37009,26.79505,24.79714,24.86816,26.56677,121.76128,47.63369,35.14496,32.36092,29.8968,29.81075,26.93517
08.01.2013,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,26.84025,27.54181,,27.85191,28.13568,28.11423,29.64921,42.60403,76.95389,36.14242,32.19313,30.3846,29.72203,27.98968,27.59779,26.7268,26.57892,28.40252,33.62966,34.79295,34.92089,35.24829,31.02284,27.75151,25.82121
09.01.2013,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,25.23887,25.82749,,24.57362,24.8732,24.70709,24.7775,27.1569,27.93185,28.9656,29.65865,29.39943,27.21605,27.14982,24.84832,24.46542,23.71774,24.94658,29.2854,30.09521,29.25307,28.85382,26.76781,24.69851,23.86359
10.01.2013,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,24.42871,24.77255,,24.75086,24.94225,25.16325,27.41868,44.233,31.09394,29.24044,29.28502,29.03933,29.06668,27.37576,25.9,25.62951,25.02865,27.76251,46.66885,32.53821,32.22327,30.30385,27.39907,23.73947,23.8076
11.01.2013,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,22.90626,22.2283,,21.97351,23.31829,22.53646,24.45126,29.96916,29.35382,31.43393,31.13616,33.98535,32.73434,29.44844,30.53968,29.14453,30.22727,31.75332,30.13332,33.01143,30.29399,25.61598,24.75693,23.52491,21.84036
